,x,y,z,layer,region,type
0,3235.485051247383,-1152.8170882329205,-3229.6542619057286,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
1,3265.8968111296813,-1160.4392602087205,-3254.4942972364756,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
2,3296.3085710119794,-1168.0614321845208,-3279.3343325672226,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
3,3326.720330894278,-1175.6836041603208,-3304.174367897969,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
4,3357.132090776576,-1183.305776136121,-3329.014403228716,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
5,3245.209567772898,-1114.0171684089698,-3229.6542619057286,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
6,3275.621327655196,-1121.63934038477,-3254.4942972364756,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
7,3306.033087537495,-1129.2615123605701,-3279.3343325672226,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
8,3336.444847419793,-1136.8836843363704,-3304.174367897969,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
9,3366.856607302091,-1144.5058563121706,-3329.014403228716,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
10,3254.934084298413,-1075.2172485850194,-3229.6542619057286,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
11,3285.3458441807115,-1082.8394205608197,-3254.4942972364756,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
12,3315.7576040630097,-1090.4615925366197,-3279.3343325672226,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
13,3346.169363945308,-1098.08376451242,-3304.174367897969,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
14,3376.5811238276065,-1105.70593648822,-3329.014403228716,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
15,3264.6586008239283,-1036.417328761069,-3229.6542619057286,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
16,3295.070360706227,-1044.0395007368693,-3254.4942972364756,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
17,3325.482120588525,-1051.6616727126693,-3279.3343325672226,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
18,3355.893880470823,-1059.2838446884693,-3304.174367897969,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
19,3386.305640353122,-1066.9060166642696,-3329.014403228716,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
20,3274.3831173494436,-997.6174089371186,-3229.6542619057286,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
21,3304.794877231742,-1005.2395809129188,-3254.4942972364756,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
22,3335.20663711404,-1012.8617528887189,-3279.3343325672226,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
23,3365.6183969963386,-1020.483924864519,-3304.174367897969,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
24,3396.0301568786367,-1028.1060968403192,-3329.014403228716,Outside,Outside,ObjectiveCSD_Disk_20_1041.0
