,x,y,z,layer,region,type
0,3184.2983701921466,-1082.255833014761,-3078.179264092868,L6,S1FL,ObjectiveCSD_Disk
1,3199.504370192147,-1086.066833014761,-3065.759264092868,L6,S1FL,ObjectiveCSD_Disk
2,3214.7103701921465,-1089.8778330147609,-3053.339264092868,L6,S1FL,ObjectiveCSD_Disk
3,3229.916370192146,-1093.689333014761,-3040.9192640928677,L6,S1FL,ObjectiveCSD_Disk
4,3245.1223701921463,-1097.500833014761,-3028.4992640928676,L6,S1FL,ObjectiveCSD_Disk
5,3260.3278701921463,-1101.3118330147609,-3016.0792640928676,L6,S1FL,ObjectiveCSD_Disk
6,3275.5333701921463,-1105.122833014761,-3003.6592640928675,L6,S1FL,ObjectiveCSD_Disk
7,3290.7393701921465,-1108.933833014761,-2991.2392640928674,L6,S1FL,ObjectiveCSD_Disk
8,3305.9453701921466,-1112.7448330147608,-2978.819264092868,L6,S1FL,ObjectiveCSD_Disk
9,3321.1513701921467,-1116.555833014761,-2966.3992640928677,L6,S1FL,ObjectiveCSD_Disk
10,3336.3573701921464,-1120.366833014761,-2953.9792640928677,L6,S1FL,ObjectiveCSD_Disk
11,3351.5633701921465,-1124.1778330147608,-2941.559264092868,L6,S1FL,ObjectiveCSD_Disk
12,3366.7693701921467,-1127.988833014761,-2929.139264092868,L6,S1FL,ObjectiveCSD_Disk
13,3381.9753701921463,-1131.7998330147611,-2916.719264092868,L6,S1FL,ObjectiveCSD_Disk
14,3397.1813701921465,-1135.610833014761,-2904.299264092868,L6,S1FL,ObjectiveCSD_Disk
15,3412.3868701921465,-1139.421833014761,-2891.8792640928677,L6,S1FL,ObjectiveCSD_Disk
16,3427.5923701921465,-1143.232833014761,-2879.4592640928677,L6,S1FL,ObjectiveCSD_Disk
17,3442.7983701921466,-1147.044333014761,-2867.0392640928676,L6,S1FL,ObjectiveCSD_Disk
18,3458.0043701921463,-1150.855833014761,-2854.6192640928675,L6,S1FL,ObjectiveCSD_Disk
19,3473.2103701921465,-1154.6668330147609,-2842.1992640928675,L6,S1FL,ObjectiveCSD_Disk
20,3488.4163701921466,-1158.477833014761,-2829.779264092868,L6,S1FL,ObjectiveCSD_Disk
21,3503.6223701921463,-1162.288833014761,-2817.358764092868,L6,S1FL,ObjectiveCSD_Disk
22,3518.8283701921464,-1166.0998330147609,-2804.938264092868,L6,S1FL,ObjectiveCSD_Disk
23,3534.0338701921464,-1169.910833014761,-2792.518264092868,L6,S1FL,ObjectiveCSD_Disk
24,3549.2393701921465,-1173.721833014761,-2780.098264092868,L6,S1FL,ObjectiveCSD_Disk
25,3564.4453701921466,-1177.5328330147609,-2767.6782640928677,L6,S1FL,ObjectiveCSD_Disk
26,3579.6513701921467,-1181.343833014761,-2755.2582640928676,L6,S1FL,ObjectiveCSD_Disk
27,3594.857370192147,-1185.155333014761,-2742.8382640928676,L6,S1FL,ObjectiveCSD_Disk
