,x,y,z,layer,region,type
0,3486.450691867682,-1174.480007212195,-2980.1608448195457,L6,S1FL,LineSource
1,3494.053631838257,-1176.3855502061451,-2986.370853652232,L6,S1FL,LineSource
2,3501.6565718088314,-1178.291093200095,-2992.5808624849187,L6,S1FL,LineSource
3,3509.259511779406,-1180.1966361940451,-2998.7908713176057,L6,S1FL,LineSource
4,3516.8624517499807,-1182.1021791879953,-3005.0008801502927,L6,S1FL,LineSource
5,3524.465391720555,-1184.0077221819452,-3011.210888982979,L6,S1FL,LineSource
6,3532.0683316911295,-1185.9132651758953,-3017.4208978156657,L6,S1FL,LineSource
7,3539.6712716617044,-1187.8188081698454,-3023.6309066483527,L6,S1FL,LineSource
8,3547.274211632279,-1189.7243511637953,-3029.8409154810397,L6,S1FL,LineSource
9,3488.881820999061,-1164.7800272562074,-2980.1608448195457,L6,S1FL,LineSource
10,3496.4847609696358,-1166.6855702501575,-2986.370853652232,L6,S1FL,LineSource
11,3504.08770094021,-1168.5911132441074,-2992.5808624849187,L6,S1FL,LineSource
12,3511.6906409107846,-1170.4966562380575,-2998.7908713176057,L6,S1FL,LineSource
13,3519.2935808813595,-1172.4021992320077,-3005.0008801502927,L6,S1FL,LineSource
14,3526.896520851934,-1174.3077422259576,-3011.210888982979,L6,S1FL,LineSource
15,3534.4994608225084,-1176.2132852199077,-3017.4208978156657,L6,S1FL,LineSource
16,3542.1024007930832,-1178.1188282138578,-3023.6309066483527,L6,S1FL,LineSource
17,3549.7053407636577,-1180.0243712078077,-3029.8409154810397,L6,S1FL,LineSource
18,3491.3129501304397,-1155.0800473002198,-2980.1608448195457,L6,S1FL,LineSource
19,3498.915890101014,-1156.98559029417,-2986.370853652232,L6,S1FL,LineSource
20,3506.518830071589,-1158.8911332881198,-2992.5808624849187,L6,S1FL,LineSource
21,3514.1217700421635,-1160.79667628207,-2998.7908713176057,L6,S1FL,LineSource
22,3521.724710012738,-1162.70221927602,-3005.0008801502927,L6,S1FL,LineSource
23,3529.3276499833128,-1164.60776226997,-3011.210888982979,L6,S1FL,LineSource
