,x,y,z,layer,region,type
0,3486.450691867682,-1174.480007212195,-2980.1608448195457,L6,S1FL,ObjectiveCSD_Disk_10_350
1,3501.6565718088314,-1178.291093200095,-2992.5808624849187,L6,S1FL,ObjectiveCSD_Disk_10_350
2,3516.8624517499807,-1182.1021791879953,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Disk_10_350
3,3532.0683316911295,-1185.9132651758953,-3017.4208978156657,L6,S1FL,ObjectiveCSD_Disk_10_350
4,3547.274211632279,-1189.7243511637953,-3029.8409154810397,L6,S1FL,ObjectiveCSD_Disk_10_350
5,3491.3129501304397,-1155.0800473002198,-2980.1608448195457,L6,S1FL,ObjectiveCSD_Disk_10_350
6,3506.518830071589,-1158.8911332881198,-2992.5808624849187,L6,S1FL,ObjectiveCSD_Disk_10_350
7,3521.724710012738,-1162.70221927602,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Disk_10_350
8,3536.930589953887,-1166.51330526392,-3017.4208978156657,L6,S1FL,ObjectiveCSD_Disk_10_350
9,3552.1364698950365,-1170.32439125182,-3029.8409154810397,L6,S1FL,ObjectiveCSD_Disk_10_350
10,3496.1752083931974,-1135.6800873882446,-2980.1608448195457,L6,S1FL,ObjectiveCSD_Disk_10_350
11,3511.3810883343467,-1139.4911733761446,-2992.5808624849187,L6,S1FL,ObjectiveCSD_Disk_10_350
12,3526.5869682754956,-1143.3022593640449,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Disk_10_350
13,3541.792848216645,-1147.1133453519449,-3017.4208978156657,L6,S1FL,ObjectiveCSD_Disk_10_350
14,3556.998728157794,-1150.924431339845,-3029.8409154810397,L6,S1FL,ObjectiveCSD_Disk_10_350
15,3501.037466655955,-1116.2801274762694,-2980.1608448195457,L6,S1FL,ObjectiveCSD_Disk_10_350
16,3516.243346597104,-1120.0912134641694,-2992.5808624849187,L6,S1FL,ObjectiveCSD_Disk_10_350
17,3531.4492265382532,-1123.9022994520697,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Disk_10_350
18,3546.6551064794025,-1127.7133854399697,-3017.4208978156657,L6,S1FL,ObjectiveCSD_Disk_10_350
19,3561.8609864205514,-1131.5244714278697,-3029.8409154810397,L6,S1FL,ObjectiveCSD_Disk_10_350
20,3505.8997249187123,-1096.8801675642942,-2980.1608448195457,L6,S1FL,ObjectiveCSD_Disk_10_350
21,3521.1056048598616,-1100.6912535521942,-2992.5808624849187,L6,S1FL,ObjectiveCSD_Disk_10_350
22,3536.311484801011,-1104.5023395400942,-3005.0008801502927,L6,S1FL,ObjectiveCSD_Disk_10_350
23,3551.5173647421598,-1108.3134255279945,-3017.4208978156657,L6,S1FL,ObjectiveCSD_Disk_10_350
24,3566.723244683309,-1112.1245115158945,-3029.8409154810397,L6,S1FL,ObjectiveCSD_Disk_10_350
25,3855.4020792395327,-1266.9511741601889,-2500.077303089918,L5,S1FL,ObjectiveCSD_Disk_10_262
26,3870.607959180682,-1270.762260148089,-2512.4973207552916,L5,S1FL,ObjectiveCSD_Disk_10_262
27,3885.813839121831,-1274.573346135989,-2524.917338420665,L5,S1FL,ObjectiveCSD_Disk_10_262
28,3901.01971906298,-1278.384432123889,-2537.337356086038,L5,S1FL,ObjectiveCSD_Disk_10_262
29,3916.2255990041294,-1282.1955181117892,-2549.7573737514117,L5,S1FL,ObjectiveCSD_Disk_10_262
30,3860.2643375022903,-1247.5512142482135,-2500.077303089918,L5,S1FL,ObjectiveCSD_Disk_10_262
31,3875.470217443439,-1251.3623002361137,-2512.4973207552916,L5,S1FL,ObjectiveCSD_Disk_10_262
32,3890.6760973845885,-1255.1733862240137,-2524.917338420665,L5,S1FL,ObjectiveCSD_Disk_10_262
33,3905.881977325738,-1258.9844722119137,-2537.337356086038,L5,S1FL,ObjectiveCSD_Disk_10_262
34,3921.0878572668867,-1262.795558199814,-2549.7573737514117,L5,S1FL,ObjectiveCSD_Disk_10_262
35,3865.1265957650476,-1228.1512543362383,-2500.077303089918,L5,S1FL,ObjectiveCSD_Disk_10_262
36,3880.332475706197,-1231.9623403241385,-2512.4973207552916,L5,S1FL,ObjectiveCSD_Disk_10_262
37,3895.538355647346,-1235.7734263120385,-2524.917338420665,L5,S1FL,ObjectiveCSD_Disk_10_262
38,3910.744235588495,-1239.5845122999385,-2537.337356086038,L5,S1FL,ObjectiveCSD_Disk_10_262
39,3925.9501155296443,-1243.3955982878385,-2549.7573737514117,L5,S1FL,ObjectiveCSD_Disk_10_262
40,3869.9888540278052,-1208.751294424263,-2500.077303089918,L5,S1FL,ObjectiveCSD_Disk_10_262
41,3885.1947339689546,-1212.5623804121633,-2512.4973207552916,L5,S1FL,ObjectiveCSD_Disk_10_262
42,3900.400613910104,-1216.3734664000633,-2524.917338420665,L5,S1FL,ObjectiveCSD_Disk_10_262
43,3915.6064938512527,-1220.1845523879633,-2537.337356086038,L5,S1FL,ObjectiveCSD_Disk_10_262
44,3930.812373792402,-1223.9956383758633,-2549.7573737514117,L5,S1FL,ObjectiveCSD_Disk_10_262
45,3874.851112290563,-1189.3513345122878,-2500.077303089918,L5,S1FL,ObjectiveCSD_Disk_10_262
46,3890.0569922317122,-1193.1624205001879,-2512.4973207552916,L5,S1FL,ObjectiveCSD_Disk_10_262
47,3905.262872172861,-1196.973506488088,-2524.917338420665,L5,S1FL,ObjectiveCSD_Disk_10_262
48,3920.4687521140104,-1200.7845924759881,-2537.337356086038,L5,S1FL,ObjectiveCSD_Disk_10_262
49,3935.6746320551597,-1204.5956784638881,-2549.7573737514117,L5,S1FL,ObjectiveCSD_Disk_10_262
50,4070.749215542286,-1320.9241409910585,-2219.8652766926252,L4,S1FL,ObjectiveCSD_Disk_10_95
51,4085.9550954834353,-1324.7352269789587,-2232.2852943579987,L4,S1FL,ObjectiveCSD_Disk_10_95
52,4101.160975424585,-1328.5463129668587,-2244.7053120233722,L4,S1FL,ObjectiveCSD_Disk_10_95
53,4116.3668553657335,-1332.3573989547588,-2257.1253296887458,L4,S1FL,ObjectiveCSD_Disk_10_95
54,4131.572735306882,-1336.168484942659,-2269.5453473541193,L4,S1FL,ObjectiveCSD_Disk_10_95
55,4075.6114738050437,-1301.5241810790833,-2219.8652766926252,L4,S1FL,ObjectiveCSD_Disk_10_95
56,4090.817353746193,-1305.3352670669835,-2232.2852943579987,L4,S1FL,ObjectiveCSD_Disk_10_95
57,4106.023233687342,-1309.1463530548835,-2244.7053120233722,L4,S1FL,ObjectiveCSD_Disk_10_95
58,4121.229113628491,-1312.9574390427836,-2257.1253296887458,L4,S1FL,ObjectiveCSD_Disk_10_95
59,4136.43499356964,-1316.7685250306836,-2269.5453473541193,L4,S1FL,ObjectiveCSD_Disk_10_95
60,4080.4737320678014,-1282.124221167108,-2219.8652766926252,L4,S1FL,ObjectiveCSD_Disk_10_95
61,4095.6796120089502,-1285.9353071550083,-2232.2852943579987,L4,S1FL,ObjectiveCSD_Disk_10_95
62,4110.885491950099,-1289.7463931429083,-2244.7053120233722,L4,S1FL,ObjectiveCSD_Disk_10_95
63,4126.091371891249,-1293.5574791308084,-2257.1253296887458,L4,S1FL,ObjectiveCSD_Disk_10_95
64,4141.297251832398,-1297.3685651187084,-2269.5453473541193,L4,S1FL,ObjectiveCSD_Disk_10_95
65,4085.3359903305586,-1262.724261255133,-2219.8652766926252,L4,S1FL,ObjectiveCSD_Disk_10_95
66,4100.541870271708,-1266.535347243033,-2232.2852943579987,L4,S1FL,ObjectiveCSD_Disk_10_95
67,4115.747750212857,-1270.3464332309331,-2244.7053120233722,L4,S1FL,ObjectiveCSD_Disk_10_95
68,4130.9536301540065,-1274.1575192188332,-2257.1253296887458,L4,S1FL,ObjectiveCSD_Disk_10_95
69,4146.159510095155,-1277.9686052067332,-2269.5453473541193,L4,S1FL,ObjectiveCSD_Disk_10_95
70,4090.1982485933163,-1243.3243013431577,-2219.8652766926252,L4,S1FL,ObjectiveCSD_Disk_10_95
71,4105.404128534466,-1247.1353873310577,-2232.2852943579987,L4,S1FL,ObjectiveCSD_Disk_10_95
72,4120.610008475614,-1250.946473318958,-2244.7053120233722,L4,S1FL,ObjectiveCSD_Disk_10_95
73,4135.815888416764,-1254.757559306858,-2257.1253296887458,L4,S1FL,ObjectiveCSD_Disk_10_95
74,4151.021768357913,-1258.568645294758,-2269.5453473541193,L4,S1FL,ObjectiveCSD_Disk_10_95
75,4234.292565209971,-1361.9134011157612,-2007.0608986034922,L3,S1FL,ObjectiveCSD_Disk_10_176
76,4249.498445151121,-1365.7244871036612,-2019.4809162688657,L3,S1FL,ObjectiveCSD_Disk_10_176
77,4264.70432509227,-1369.5355730915612,-2031.9009339342392,L3,S1FL,ObjectiveCSD_Disk_10_176
78,4279.910205033419,-1373.3466590794615,-2044.3209515996127,L3,S1FL,ObjectiveCSD_Disk_10_176
79,4295.116084974568,-1377.1577450673615,-2056.7409692649862,L3,S1FL,ObjectiveCSD_Disk_10_176
80,4239.154823472729,-1342.513441203786,-2007.0608986034922,L3,S1FL,ObjectiveCSD_Disk_10_176
81,4254.360703413879,-1346.324527191686,-2019.4809162688657,L3,S1FL,ObjectiveCSD_Disk_10_176
