,x,y,z,layer,region,type
0,3351.279066312492,-1123.3645663526775,-3235.1451654523726,L6,S1FL,LineSource
1,3363.326066312492,-1126.3840663526776,-3219.469165452372,L6,S1FL,LineSource
2,3375.373066312492,-1129.4035663526774,-3203.7931654523723,L6,S1FL,LineSource
3,3387.420566312492,-1132.4230663526773,-3188.116665452372,L6,S1FL,LineSource
4,3399.468066312492,-1135.4425663526774,-3172.440165452372,L6,S1FL,LineSource
5,3411.515566312492,-1138.4620663526775,-3156.7641654523723,L6,S1FL,LineSource
6,3423.563066312492,-1141.4815663526774,-3141.0881654523723,L6,S1FL,LineSource
7,3435.6105663124918,-1144.5005663526774,-3125.4121654523724,L6,S1FL,LineSource
8,3447.658066312492,-1147.5195663526774,-3109.7361654523725,L6,S1FL,LineSource
9,3459.705066312492,-1150.5390663526773,-3094.0596654523724,L6,S1FL,LineSource
10,3471.752066312492,-1153.5585663526774,-3078.3831654523724,L6,S1FL,LineSource
11,3483.799566312492,-1156.5780663526775,-3062.7071654523725,L6,S1FL,LineSource
12,3495.847066312492,-1159.5975663526774,-3047.031165452372,L6,S1FL,LineSource
13,3507.8945663124923,-1162.6170663526773,-3031.3546654523725,L6,S1FL,LineSource
14,3519.942066312492,-1165.6365663526774,-3015.6781654523725,L6,S1FL,LineSource
15,3531.9895663124917,-1168.6560663526775,-3000.0021654523725,L6,S1FL,LineSource
16,3544.037066312492,-1171.6755663526774,-2984.326165452372,L6,S1FL,LineSource
17,3556.084566312492,-1174.6950663526773,-2968.650165452372,L6,S1FL,LineSource
18,3568.132066312492,-1177.7145663526774,-2952.9741654523723,L6,S1FL,LineSource
19,3580.179066312492,-1180.7340663526775,-2937.2976654523723,L6,S1FL,LineSource
20,3592.226066312492,-1183.7535663526774,-2921.621165452372,L6,S1FL,LineSource
21,3604.273566312492,-1186.7730663526772,-2905.9451654523723,L6,S1FL,LineSource
22,3616.321066312492,-1189.7925663526773,-2890.2691654523724,L6,S1FL,LineSource
23,3628.3685663124916,-1192.8120663526774,-2874.5926654523723,L6,S1FL,LineSource
24,3640.4160663124917,-1195.8315663526776,-2858.9161654523723,L6,S1FL,LineSource
25,3652.463566312492,-1198.8510663526777,-2843.2401654523724,L6,S1FL,LineSource
26,3664.511066312492,-1201.8705663526775,-2827.5641654523724,L6,S1FL,LineSource
27,3676.558566312492,-1204.8900663526774,-2811.888165452372,L6,S1FL,LineSource
28,3688.6060663124917,-1207.9095663526775,-2796.212165452372,L6,S1FL,LineSource
29,3700.653066312492,-1210.9290663526776,-2780.535665452372,L6,S1FL,LineSource
30,3712.700066312492,-1213.9485663526775,-2764.8591654523725,L6,S1FL,LineSource
31,3724.747566312492,-1216.9680663526774,-2749.183165452372,L6,S1FL,LineSource
32,3736.795066312492,-1219.9875663526775,-2733.507165452372,L6,S1FL,LineSource
33,3748.8425663124917,-1223.0070663526776,-2717.830665452372,L6,S1FL,LineSource
34,3760.890066312492,-1226.0265663526775,-2702.154165452372,L6,S1FL,LineSource
35,3772.937566312492,-1229.0460663526774,-2686.478165452372,L5,S1FL,LineSource
